Date,Open,Close,High,Low,Volume
2016-07-14,81.18,81.74,82.24,80.86,9357817
2016-07-15,81.78,81.25,82.49,80.97,8918328
2016-07-18,80.60,82.65,82.79,80.60,12107716
2016-07-19,82.48,82.77,83.69,82.05,9793568
2016-07-20,83.27,84.42,84.70,83.23,13981317
2016-07-21,84.71,84.18,85.00,83.66,10191960
2016-07-22,84.00,84.49,84.50,83.81,5988370
2016-07-25,84.47,83.19,84.79,82.61,13183766
2016-07-26,82.86,83.59,83.63,82.63,7713434
2016-07-27,83.60,83.10,83.64,83.00,11621959
2016-07-28,83.46,83.12,83.49,82.12,7475926
2016-07-29,83.37,82.48,83.42,81.95,8709259
2016-08-01,82.79,84.34,84.80,82.59,13398443
2016-08-02,84.34,83.80,84.34,82.91,7690180
2016-08-03,83.30,83.67,83.84,83.17,5363908
2016-08-04,83.75,84.75,84.98,83.69,10731563
2016-08-05,85.01,84.59,85.08,84.44,9401038
2016-08-08,84.99,85.00,85.02,84.30,11524103
2016-08-09,85.05,85.24,85.63,84.80,15340759
2016-08-10,86.01,87.33,87.73,86.01,28167392
2016-08-11,92.14,91.77,92.80,91.26,54164984
2016-08-12,92.98,98.25,98.35,92.91,71948520
2016-08-15,98.28,97.17,98.86,96.82,33799357
2016-08-16,96.15,96.66,97.15,95.05,27510222
2016-08-17,96.17,97.00,97.25,96.05,14977171
2016-08-18,97.25,97.00,97.94,96.62,15007911
2016-08-19,96.91,96.86,97.24,96.34,14265149
2016-08-22,96.47,95.65,96.63,94.75,16222785
2016-08-23,95.59,95.79,96.48,95.41,9645970
2016-08-24,95.68,93.88,96.30,93.56,12722727
2016-08-25,93.75,93.94,94.69,93.12,13034568
2016-08-26,94.15,95.06,95.45,94.08,14127930
2016-08-29,94.60,94.88,95.16,94.21,8816199
2016-08-30,95.35,96.00,96.68,95.17,13990664
2016-08-31,96.14,97.19,97.20,96.01,28610395
2016-09-01,97.30,97.42,98.00,97.01,13386396
2016-09-02,97.97,99.25,99.67,97.97,17479022
2016-09-06,100.45,103.78,104.30,100.45,32799414
2016-09-07,103.84,102.32,104.00,102.26,15756126
2016-09-08,101.93,102.57,103.78,101.63,15474346
2016-09-09,101.80,99.62,102.21,99.05,21247442
2016-09-12,97.38,100.80,101.38,97.00,17315884
2016-09-13,100.38,100.28,101.49,98.84,20003490
2016-09-14,100.08,102.40,102.59,100.02,19599431
2016-09-15,102.62,104.45,104.48,102.53,20834576
2016-09-16,104.00,104.64,105.39,103.86,20361766
2016-09-19,105.16,103.03,105.50,102.20,15228110
2016-09-20,102.94,101.45,103.73,100.93,12861426
2016-09-21,102.46,106.00,106.19,102.21,22994913
2016-09-22,107.57,109.36,109.76,107.48,35623748
2016-09-23,108.25,107.71,108.40,106.71,23082726
2016-09-26,106.52,105.89,107.06,105.30,16801803
2016-09-27,106.52,108.26,108.49,106.37,17547900
2016-09-28,108.44,108.75,109.87,107.16,16339488
2016-09-29,106.51,105.55,106.69,104.57,30231368
2016-09-30,106.50,105.79,107.10,105.79,15575017
2016-10-03,105.45,105.38,106.29,104.98,10846647
2016-10-04,105.93,105.45,106.23,105.05,11067366
2016-10-05,105.87,106.96,107.45,105.66,13173956
2016-10-06,107.30,107.08,107.51,106.19,9884558
2016-10-07,106.89,106.00,107.55,105.56,8952564
2016-10-10,106.79,108.41,109.00,106.56,11516078
2016-10-11,107.89,105.23,107.97,104.75,14905888
2016-10-12,105.05,103.62,105.11,101.82,18434183
2016-10-13,102.06,102.15,102.55,99.00,22387487
